"işletme adı","instagram kullanıcı adı","telefon numarası","mail adresi","websitesi"
"SAPANCA JASMİNE BUNGALOV","sapancajasminebungalov","05379133331","",""
"SAPANCA SAFARİ BUNGALOV","@sapancasafaribungalov","+905322824154","",""
"WOODLODGE COUNTREY SAPANCA","@wlcsapanca","+905528145954","",""
"EG SAPANCA BUNGALOV","@egsapanca","+905322908954","",""
"BADE BUNGALOV","@sapancabadebungalov","+905393189843","",""
"MAMA'S PALACE BUNGALOW HOTEL","mamaspalace","05399474343","",""
"SAPANCA WOOD SİDE BUNGALOV","sapancawoodsidebungalov","05320583654","",""
"BUNGARELLA DELUXE BUNGALOWS","@bungarellabungalows","+905448282054","",""
"SAPANCA ATLAS BUNGALOV","@atlasbungalov","+905301449770","",""
"KOTİ SAPANCA","kotisapanca","05069305007","",""
"KÖYLÜ BUNGALOV CAFE RESTOURANT","koylubungalov","05325858247","",""
"PANDA BUNGALOV","@pandabungalov","+905395472632","",""
"PREMİUM GOLD SAPANCA","premiumgoldsapanca","05364994154","",""
"SANNORA SUİTE & RİTA HOUSE","sannorasuite","05308183747","",""
"SİMURG BUNGALOV","sapancasimurgbungalov","05052179608","",""
"SAPANCA YEŞİL KÖY BUNGALOV","sapancayesilkoybungalov","05315058254","",""
"SAPANCA SAYRE RESORT","@sapancasayresort","+905321696577","",""
"ABELLA SAPANCA","@abella_sapanca","+905384714889","",""
"SAPANCA LOST BUNGALOV","@sapancalostbungalow","+905314588909","",""
"SAPANCA İMROZ VE POSEDİON","https:instagram.comottosuitsapancaimrozveposedion","05052584061","",""
"SAPANCA BALKAYA BUNGALOW","@sapancabalkayabungalow","+905316237254","",""
"SAPANCA REYYAN BUNGALOV","@sapancareyyanbungalov","+905303911054","",""
"CASABA SAPANCA","@casabasapanca","+905303986001","",""
"SAPANCA SAHRA KÜTÜK EV","sapancasahrakutukev","05442352554","",""
"SAPANCA ARKABAHÇE BUNGALOV","@sapancaarkabahcebungalov","+905347162780","",""
"DES BUNGALOV","@sapancadesbungalov","+905336488507","",""
"BABİL BAHÇE BUNGALOV","babilbahcebungalov","05431519191","",""
"WHİTE DELUXE SAPANCA","sapancawhitedeluxe","","",""
"SAPANCA DOĞANIN İNCİSİ","sapancadoganinincisi","05369123269","",""
"BLACK WHİTE BUNGALOV SAPANCA","blackwhitebungalovsapanca","05393600642","",""
"BOSSTANCİ BUNGALOV","@bosstancibungalovsapanca","+905427750154","",""
"BUZ BUNGALOV","@buzbungalov","+905318397166","",""
"SAPANCA KEMER BUNGALOV","@sapancakemerbungalov","+905466098405","",""
"MOONLİGTH HOUSE","moonlightsapanca","05356711854","",""
"HİLLTOP BUNGALOV SAPANCA","hilltopbungalovsapanca","05423913751","",""
"SAPANCA ALP BUNGALOV","@sapancaalpbungalow","+905445093454","",""
"LİVAM BUNGALOV  GAİA BUNGALOV","sapancalivambungalow","05310875900","",""
"WİLLA MİO BUNGALOV SAPANCA","willamiobungalov","05426066680","",""
"SAPANCA SOĞUCAK DAĞ EVLERİ","@sapancasogucakdagevleri","+905306433268","",""
"LOVE SEASONS","@loveseasonssapanca","+905302153654","",""
"SAPANCA LİTTLE HOUSE","sapancalittlehouse","05072571054","",""
"MEGA LİVADİ BUNGALOV","megalivadibungalov","05324184854","",""
"MEŞEALTI SUİT BUNGALOV","mesealtisuitbungalov","05327031311","",""
"KOZALAK VİLLA BUNGALOV","sapancakozalakbungalov","05063062154","",""
"LODGE SAPANCA BUNGALOW","@lodgesapanca","+905334185054","",""
"BAŞAK DAĞ EVLERİ","@sapancabasakdagevi","+905533136656","",""
"LERİ HOME BUNGALOV","@lerihomebungalov","+905326740753","",""
"SAPANCA LAKE HİLL","sapancalakehill","05456601514","",""
"FOREST  MİNİ FOREST BUNGALOV","sapancaforestbungalov","905414026366","",""
"MOUNTAİN DREAM HOUSE SAPANCA","mountaindreamhouse","05322362776","",""
"THE KAİA SAPANCA","thekaiasapanca","05451256054","",""
"SAPANCA SAFRAN BUNGALOV","@sapancasafranbungalov","+905388876642","",""
"SAPANCA MARADİDİ RESORT","sapancamaradidiresort","05334500154","",""
"GRAND PARADİSE SAPANCA","grandparadisesapanca","05304212750","",""
"SAPANCA LESA BUNGALOV","@sapancalesabungalov","+905396431654","",""
"SAPANCA TAŞ KALE BUNGALOV","@sapancataskalebungalow","+905315920479","",""
"SEYR-İ SAPANCA BUNGALOV","@seyrisapanca_bungalov","+905318637877","",""
"SAPANCA MİRA TİNY HOUSE","miratinyhouse","05415533635","",""
"TWİNS BUNGALOW","twinsbungalowsapanca","05053527240","",""
"AYAZ BUNGALOW SAPANCA","@ayazbungalowsapanca","+905012362807","",""
"SRK KONAKLARI SAPANCA","@srkbungalovsapanca","+905443915454","",""
"TUTASTE SAPANCA","@tutastesapanca","+905332231732","",""
"SAPANCA TİME BUNGALOV","sapancatime","905066720255","",""
"MAVİ BUNGALOV","@sapancamavibungalovs","+905075059489","",""
"ÇEBİ PANAROMA LUXURY SAPANCA","@cebipanoramasapanca","+905535486161","",""
"SAPANCA BAŞAK DAĞ EVİ 2","@sapancabasakdagevii2","+905426702312","",""
"NOXX BUNGALOWS SAPANCA","@noxx.sapanca","+905358542377","",""
"SAPANCA KAİROS BUNGALOV","sapancakairosbungalov","05451515424","",""
"RS SUİT BUNGALOV","rssuitbungalowsapanca","05374658724","",""
"RUALTU BUNGALOV","@rualtubungalov","+905350155730","",""
"SAPANCA GAZALLE HOUSE","@gazellehouses","+905424047657","",""
"BERKDENİZ BUNGALOV","sapancaberkdenizbungalov","05322036020","",""
"SAPANCA FİNE DELUXE","sapancafinedeluxe","05356595454","",""
"BLACK LAKE SAPANCA","@blacklakesapanca","+905346930954","",""
"SAPANCA LADİN BUNGALOV","sapancaladinbungalov","05445442357","",""
"DARK HOUSE SAPANCA","darkhousesapanca","05441775854","",""
"SHİMA BUNGALOV","sapancashimabungalow","05062840384","",""
"WOODEN PALACES","@sapanca.woodenpalaces","+905492740054","",""
"SAPANCA EKC SUİT BUNGALOV","sapancaekcsuitbungalov","05324498754","",""
"VELOUR SAPANCA","@veloursapanca","+905300977817","",""
"SAPANCA CHERRY BUNGALOV","@sapancacherrybungalov","+905446040501","",""
"BİLDA BUNGALOV","bildabungalow","05339621054","",""
"DOA BUNGALOV SAPANCA","@doasapanca","+905523624400","",""
"CHİLL SAPANCA","chillsapanca","05436700580","",""
"POLAT BUNGALOV","@polat.bungalov","+905326424396","",""
"DORUK BUNGALOW","@sapanca.dorukbungalow","+905358811871","",""
"SAPANCA B&K BUNGALOV  LİFE DOME SAPANCA LÜKS GLAMPİNG","bkbungalov","05444480254","",""
"SAPANCA UĞURLU BUNGALOV","@sapanca_ugurlu_bungalov","+905326381856","",""
"HİLLORİA TATİL KÖYÜ SAPANCA","hilloriatatilkoyu","05322720011","",""
"HAN SUİT SAPANCA","hansuitsapanca","05315059926","",""
"BARAKA SAPANCA","@barakasapanca","+905451227252","",""
"NUT GARDEN BUNGALOV","@nutgardenbungalov","+905335087468","",""
"LAKE LOOK SAPANCA","@lakelooksapanca","+905301867454","",""
"DAVİLLA SAPANCA","davilla_sapanca","05325250118","",""
"OBA SAPANCA","@obasapanca","+905322481881","",""
"KARAM BUNGALOV","@karam_bungalov","+905442054096","",""
"VİSTA BUNGALOV","vistabungalovsapanca","05362193559","",""
"VİLLA DEM","villadems","905303798754","",""
"SAPANCA MELEN SUİT VİLLA BUNGALOV","sapancamelensuitbungalov","05377346641","",""
"SUNLİGHT BUNGALOV","sunlightbungalov","05330883454","",""
"SAPANCA MAVİ SAZLIK BUNGALOV","@mavisazlk","+905327040236","",""
"SAPANCA YEŞİLTEPE DAĞ EVİ","sapancayesiltepedagevi","05516427667","",""
"SAPANCA ELORA BUNGALOV","@sapancaelorabungalov","+905352715419","",""
"DÖRT MEVSİM SAPANCA RESORT","sapancadortmevsimresort","05464628938","",""
"ZENİT BUNGALOV SAPANCA","zenitbungalov","05308866227","",""
"JARDİN BUNGALOV SAPANCA","jardin_bungalov_sapanca","05427798008","",""
"LOMEPE SAPANCA DAĞ EVLERİ","@lomepesapanca","+905326649512","",""
"SAPANCA SU BUNGALOV","@sapanca_su_bungalov","+905399338056","",""
"BEFA BUNGALOV","@sapancabefabungalov","+905442449683","",""
"GREEN LİFE BUNGALOW","green_lifebungalow","05467383341","",""
"SAPANCA BUNGALOVYA","@sapancabungalovya","+905323845329","",""
"KARMEN BUNGALOV","@karmenbungalovsapanca","+905335825416","",""
"Sapancabunglove","@sapancabunglove","+905551733606","",""
"JOJO BUNGALOW SAPANCA","jojobungalowsapanca","05012401122","",""
"EKSADO RESORT","@eksadoresort","+905323895480","",""
"ASDESA SKY GARDEN","@sapancaasdesaskygarden","+905327417787","",""
"KARTAL VADİSİ DAĞ EVLERİ","kartalvadisidagevleri","05378978473","",""
"LİVZA BUNGALOV","livza.bungalov","05531994972","",""
"HOCUS & POCUS BUNGALOV","@sapancavillagreen","+905530875319","",""
"GREEN LEAF SAPANCA","@greenleaf.sapanca","+905395284054","",""
"ROLLİNG HOUSE","rollinghousesapanca","05330468554","",""
"KİWİ GARDEN HOUSE","kiwigardenhouse","05324316354","",""
"ALCEDO BUNGALOV","@alcedobungalov","+905306025054","",""
"SAPANCA ÇİÇEK BUNGALOV","sapancacicekbungalov","05396948566","",""
"SAPANCA DEJAVU BUNGALOV","@sapancadejavubungalov","+905351006425","",""
"DOĞA BUNGALOW","@dogabungalowsapanca","+905454515505","",""
"SAPANCA BONİTA BUNGALOV","bonitabungalovsapanca","05304257269","",""
"MOTA SAPANCA BUNGALOV","@motasapancabungalov","+905411215475","",""
"GREEN TOWN SAPANCA","greentownsapanca","05334027254","",""
"LİFE iS HERE SAPANCA","lifeisheresapanca","05339207084","",""
"AKVARYUM SAPANCA","@akvaryumsapanca","+905324401124","",""
"SAPANCA GÖLDİBİ SUİT BUNGALOV","sapancagoldibisuitbungalov","02645920054","",""
"AİLE BUNGALOV","ailebungalov","05457996955","",""
"SAPANCA TEOYA BUNGALOV","@sapancateoyabungalov","+905334333654","",""
"BUTİK EVLER SAPANCA","butikevlersapanca","05526071886","",""
"SAPANCA UPSİDE BUNGALOV","sapancaupsidebungalov","905530857793","",""
"THE JUNGLE SAPANCA","@thejunglesapanca","+905394393109","",""
"MARKUS BUNGALOV","@markusbungalov","+905321551612","",""
"SAPANCA NAZ BUNGALOV","@sapanca_naz_bungalow","+905324190297","",""
"SAPANCA EFENDY SUİT","sapancaefendysuit","05418124134","",""
"SAPANCA BELİS BUNGALOV","sapancabelisbungalov","05540225460","",""
"SAPANCA OLİVİA BUNGALOV","sapancaoliviabungalov","05320522723","",""
"SAPANCA BUNGALOW LİFE","sapancabungalowlife","05321761875","",""
"KAYA PALACE SAPANCA BUNGALOW","@kayapalacesapanca","+905306690454","",""
"SİZMARİ DAĞ EVİ","sizmaridagevi","05438638300","",""
"BUNGALOV NO:111","bungalovno111","05309460254","",""
"MİRUS SAPANCA","mirussapanca","05491225454","",""
"BİGİNN SAPANCA","bungalov_sapanca_biginn","05059237211","",""
"SAPANCA MEHAYZEY BUNGALOV","sapancamehayzeybungalovevleri","05355506959","",""
"MY RESORT PRİVE OTEL","myresortprive","05497748354","",""
"THE DOA BUNGALOV","@thedoabungalov","+905324244660","",""
"CBC PLUS BUNGALOV & VİLLA","sapancacbcplus","05337040354","",""
"SAPANCA WONDER","@sapancawonder","+905326629348","",""
"SAPANCA NEBULA BUNGALOV","@sapancanebulabungalov","+905071382805","",""
"MSC SUİTES BUNGALOW","mscsuitesbungalow","05325210592","",""
"AŞKIN BUNGALOVE","@askinbungalove","+905411364100","",""
"SAPANCA YEŞİLTEPE SARAYLARI & BUNGALOV","sapancayesiltepebungalov","05431685132","",""
"NESS BUNGALOV","nessbungalov","05365808548","",""
"NANA SAPANCA","@nanasapanca","+905325623754","",""
"BAŞKA SAPANCA","@baskasapanca","+905538185434","",""
"MOOD SAPANCA","@moodsapanca","+905326547552","",""
"BARİA SAPANCA","bariasapanca","05550548754","",""
"BEBOSS RESORT SAPANCA","@beboss_resort_sapanca","","",""
"SAPANCA AHESTE BUNGALOV","@sapancaahestebungalov","+905455444101","",""
"SAPANCA TURNA BUNGALOV","@sapancaturnabungalov","+905392744906","",""
"SAPANCA MT SUİT BUNGALOV","sapancamtsuitbungalov","05316435554","",""
"PRİCE HOUSE SAPANCA","pricehousesapanca","05333313454","",""
"NATURE HOUSE","@sapancanaturehouse","+905323717322","",""
"SAPANCA NİRVANA BUNGALOV","sapancanirvanabungalovv","05324074354","",""
"MAGİC BUNGALOV","magicbungalowsapanca","05325451227","",""
"SAPANCA MYSTİC BUNGALOW","sapancamysticbungalow","05383904465","",""
"KAYIP ORMAN DAĞ EVLERİ","@sapancakayipormandagevleri","+905322906454","",""
"FOREST VİEW SAPANCA","forestviewsapanca","05518947070","",""
"NARLI BAHÇE BUNGALOV","@sapancanarlibahcebungalov","+905527088701","",""
"SAPANCA SUNDAY BUNGALOV RESORT","@sapancasundaybungalovresort","+905321355488","",""
"SAPANCA ZENKA BUNGALOV","@sapancazenkabungalov","+905054955830","",""
"SAPANCA ÇINARDERE BUNGALOW","@sapancacinarderebungalow","+905553940611","",""
"SAPANCA AÇELYA BUNGALOV","@sapancaacelyabungalov","+905303445441","",""
"PRİVE BUNGALOV SAPANCA","privebungalov","905010097624","",""
"MELODİ BUNGALOV","@melodibungalovsapanca","+905305214843","",""
"SEYRİGÖL BUNGALOV SAPANCA","seyrigolbungalovsapanca","05357031887","",""
"RÜZGAR BUNGALOV","ruzgarbungalovsapanca","05452430854","",""
"SAPANCA TİNY HOME","sapancatinyhome","05497842400","",""
"RİVERSİDE BUNGALOV","riversidebungalov","05334764086","",""
"SİLVER LİFE BUNGALOV","silverlifebungalovs","05517040016","",""
"SAPANCA SİS VADİ BUNGALOV","sapancasisvadibungalov","05388691842","",""
"SAPANCA GRAND BUNGALOV","@sapancagrandbungalov","+905308284369","",""
"NAME XL SAPANCA BUNGALOV","@namexlsapanca","+905337678140","",""
"SAPANCA MGM BUNGALOW","@mgmbungalov","+905337661054","",""
"WONDER HİLL BUNGALOV","sapancawonderhillbungalov","05325705441","",""
"ŞİFAKÖY BUNGALOV","","05313155790","",""
"SAPANCA ELZEY SUIT BUNGALOV","@sapancaelzeysuitbungalov","+905386889894","",""
"BOZ BUNGALOV SAPANCA","@bozbungalovsapanca","+905323875409","",""
"ÇETİN GARDEN BUNGALOV","cetingardenbungalov","05387783828","",""
"SAPANCA DURU BUNGALOV","@durubungalov","+905308106997","",""
"SAPANCA CARPE DİEM BUNGALOV","sapancacarpediembungalov","05442565600","",""
"MÜNZEVİ BUNGALOV","munzevibungalov#","05306769054","",""
"YSL SAPANCA","@ysl_sapanca","+905339670154","",""
"DES VU SAPANCA","@desvusapanca","+905431605441","",""
"PALACE SAPANCA","@palace_sapanca","+905344475492","",""
"İCB DİAMOND SAPANCA","icbdiamondsapanca","05350267188","",""
"ADAGULİ BUNGALOV SAPANCA","@adaguli_bungalov_sapanca","+905438271474","",""
"SANTE VİTA SAPANCA","santevitasapanca","","",""
"SAPANCA DEREBOYU KONAKLARI","@dereboyukonaklari","+905304359682","",""
"SAPANCA GEZGİN SUİTES  GEZGİN HOUSE","sapancagezginsuites","05419257108","",""
"VOKA SAPANCA","@vokasapanca","+905435408652","",""
"SAPANCA CEVHER BUNGALOV","@sapancacevherbungalovs","+905346622535","",""
"MONAROZA SAPANCA","@monarozasapanca","+905332621426","",""
"SAPANCA DREAM HOUSES 2  ANGELOZİ KIRKPINAR","@sapancadreamhouses2","+905439207897","",""
"BAYY BUNGALOV","@bayybungalov54","+905348539095","",""
"SAPANCA RUMA BUNGALOV","@sapancaruma","+905367123437","",""
"SAPANCA LİTHA BUNGALOV","sapancalithabungalov","05339635683","",""
"SAPANCA BUTKA BUNGALOV","@sapancabutkabungalov","+905356636999","",""
"SOLE BUNGALOV","@solebungalovsapanca","+905385284279","",""
"PAYE SAPANCA","@payesapanca","+905540190507","",""
"İNCİ TİNY HOUSE","incitinyhouse","05346005141","",""
"ASİL BUNGALOV","asilbungalov","05359776929","",""
"GALYA BUNGALOV SAPANCA","@galyabungalovsapanca","+905334237554","",""
"KAYALAR SAPANCA BUNGALOV","@kayalarsapancabungalov","+905358129498","",""
"SAPANCA VİNEYARD HOUSE","sapancavineyardhouse","05417710254","",""
"SAPANCA DREAM HOUSES","sapancadreamhouses","05301212582","",""
"PALVİA  SUİT BUNGALOV SAPANCA","palviasuitebungalov","05054951086","",""
"SAPANCA PETUNYA  BLACK WOODEN BUNGALOV","@blackwoodenbungalov","+905321784390","",""
"SAPANCA BALMY BUNGALOV","@sapancabalmybungalows","+905075196028","",""
"ELİT HOME'SS SAPANCA","elithomessapanca","05364258960","",""
"NURİ BEY KONAKLARI","nuribeykonaklari","05324089879","",""
"TANTA BUNGALOV","@sapanca_tanta_bungalov","+905368767134","",""
"SAPANCA BRONO SUİT BUNGALOW","bronosapanca","905461193554","",""
"SAPANCA KÜÇÜK GÖL KÖY","sapancakucukgolkoy","05308982453","",""
"MAYA SAPANCA","@mayasapanca","+905051606292","",""
"BLOOM SAPANCA","bloomsapanca","05322516454","",""
"BOHEME BUNGALOW","@bohemebungalowsapanca","+905465985454","",""
"Elis Tiny House","elistinyhouse","05548265095","",""
"HHZ GREEN LİFE STALL","greenlifesimasapanca","05301744365","",""
"SOFHANLI VADİSİ","sofhanlivadisibungalow","05383160071","",""
"SAPANCA MOMENT BUNGALOV","@sapancamomentofficial","+908502410979","",""
"SAPANCA KURUÇEŞME TINY HOUSE","sapancakurucesmetinyhouse","05306425489","",""
"ELYA BUNGALOV","@elyabungalov","+905369663592","",""
"PEPELA","","+905300307366","",""
"SAPANCA KESKİN LİFE BUNGALOV","sapancakeskinlifebungalov","05413023307","",""
"SESA SAPANCA","@sesasapanca","+905010545448","",""
"SAPANCA İNFİNİTY HOUSE","sapancainfinityhouse","05356554848","",""
"SAPANCA DEREİÇİ BUNGALOV","sapancadereicibungalov","05301393454","",""
"SAPANCA BUNGALİFE","sapancabungalife","05322648703","",""
"GREEN GATE BUNGALOV","@greengatebungalov","+905324679229","",""
"SULTAN SARAYI SAPANCA","@sultansarayisapanca","+905332645483","",""
"THEA SAPANCA BUNGALOV","@theasapanca","+905073525441","",""
"DREAM BUNGALOV SAPANCA","@dreambungalowssapanca","+905337361900","",""
"SAPANCA SERA BUNGALOV","@sapancaserabungalov","+905462560022","",""
"FOREST HİLL BUNGALOW","foresthillbungalowsapanca","05306054997","",""
"GOLDEN PALACE SAPANCA","@goldenpalacesapanca","+905438295454","",""
"GREEN HİLL BUNGALOV SAPANCA","greenhillbungalow","05052179812","",""
"ÇAKIR BUNGALOV SAPANCA","@cakirbungalov.sapanca","+905542634043","",""
"HAT NATUREL SAPANCA","@hatnaturelsapanca","+905339175424","",""
"ATA EXPRESS SAPANCA","@ataexpressapanca","+905379165204","",""
"AKS SAPANCA","@akssapanca","+905308542741","",""
"SAPANCA HAYALLERİM BUNGALOV","sapancahayallerimbungalov","05350564681","",""
"ABC SAPANCA","@abcsapanca","+905356515063","",""
"Ferhat Göçer Konseri","","","",""
"Gökhan Türkmen","","","",""
"Cem Adrian Konseri","","","",""
"CEM ADRİAN KONSERİ","","","",""
"Sapanca El Sanatları Festivali","","","",""
"SEMİCENK Konseri","","05321731109","",""
"PSB Anatolia Uluslararası Peyzaj Süs Bitkileri Bahçe Sanatları ve Ekipmanları Fuarı","","","",""
"OFF-ROAD YARIŞLARI","","","",""
"BABAYANİ TİYATROSU - TEBDİL-İ DİYAR","","","",""
"ZİRVEDE MÜZİK GÖKYÜZÜNDE EĞLENCE","","","",""
"VİLLA HOLİDAY","villaholiday","05325026199","",""
"SAPANCA VİLLA SAKURA","sapancavillasakura","05308575986","",""
"VİLLA POLİ SAPANCA KIRKPINAR","villapolikirkpinar","05323995587","",""
"VİLLA ARİF BEY SAPANCA","villaarifbeysapanca","05532220364","",""
"RÜYA SAPANCA","ruyasapanca1","05319296899","",""
"DEEP LUXURY SAPANCA","@deepluxurysapanca","+905425895154","",""
"VİLLA MANOLYA EDO PANSİYON","villamanolya","05327337116","",""
"VİLLA İN NATURE SAPANCA","villa_in_nature","05350481882","",""
"GÜZEL EVLER SAPANCA","guzelevlersapanca","905452546454","",""
"SAPANCA MAVİ YEŞİL KÖY EVİ","sapancamaviyesilkoyevi","05385502704","",""
"ARI VİLLALARI SAPANCA","arivillalarisapanca","05322701808","",""
"EREN-MANZARA 1-MANZARA 2-GRAND VADİ-WHİTE ROSE VİLLA","sapancaerenvilla","905326517105","",""
"BONANA VİLLALARI","bonana.villalari","05304960189","",""
"ASTRA WOODEN HOUSE","@astrawoodenhouse","+905356312491","",""
"VİLLA FRAPAN SAPANCA","villafrapan","05366734707","",""
"MEGA VİLLAGE SAPANCA","mega.village.sapanca","05335169558","",""
"SAPANCA WHİTE HOME KONAKLAMA","whitehomesapanca","05058558954","",""
"VİLLA MAHAL SAPANCA","villamahalsapanca","05326490254","",""
"KALE HOUSES","@kalehouses","+905419302128","",""
"SAPANCA KOKİNA SUİT","sapancakokinasuit","05382283054","",""
"MEADOW SAPANCA","@meadowsapanca","+905306479754","",""
"SELVİ LİFE VİLLAS","lifeselvivillas","05346029506","",""
"MARBELLA VİLLAM","marbellavillam","05412543071","",""
"SEVİMLİ VİLLA","sapancavillasevimli","05323858003","",""
"MCLİFE VİLLAS","mclifevillas","08504200302","",""
"KOÇBEY BUTİK OTEL SAPANCA","kocbeybutikotelsapanca","905332323374","",""
"SAPANCA PİNK HOUSE","sapancapinkhouse","05524419230","",""
"VİLLA PİNE SAPANCA","privatevillasapanca","05455718873","",""
"VİLLA BAHAR SAPANCA | TATİL | OTEL | KONAKLAMA","villabaharsapanca","05398850270","",""
"İKİZ VİLLALAR","ikiz_villalar54","05392529248","",""
"VİLLA UĞUR &BUNGALOV","villaugur","05316821155","",""
"SAPANCA DOĞAL YAŞAM KÖYÜ","sapancadogalyasamkoyu","05350560854","",""
"SİNDOMA MOUNTAİN HOUSE","sindomasapanca","05385460023","",""
"KONAK SAPANCA","@konaksapanca","+905458775400","",""
"NİBRAS VİLLA RESORT","nibrasvillaresort","05528322488","",""
"SHINO LUXURY RESORT","@shinosapanca","+905323308354","",""
"KİWİ SAPANCA","kiwiisapanca","05313602930","",""
"SADE SAPANCA","@sadesapanca","+905312475035","",""
"LUZ DE LUNA SAPANCA","@luzdelunasapanca","+905335643256","",""
"ASYA HOUSE SAPANCA","@asyahousesapanca","+905427265400","",""
"VİLLA ULUSOY SAPANCA","villaulusoysapanca","05356869524","",""
"BARİA SAPANCA SUNSET VİLLAS","bariasapancasunsetvillas","05336122112","",""
"VİLLA FAZİ","villafazi","05305258868","",""
"VİLLA POLENTE  VİLLA GRANDE ALBERO SAPANCA","villa_grande_albero","05330137202","",""
"SAPANCA İNCİ SUİT","sapancaincisuit","05357851754","",""
"KULE SAPANCA","@kulesapanca","+905431665454","kulesapanca@gmail.com","https://www.kulesapanca.com"
"GİNKGO VİLLAS","ginkgovillas","05446585858","",""
"SAPANCA MONTANA VİLLA","sapancamontanavilla","05547750660","",""
"KIYICI KONAK","@kiyicikonak","+905326308008","",""
"HİGH GARDEN VİLLAS","highgardensapancavillas","05538726740","",""
"SAPANCA VİLLA KLASS","sapancavillaklass","05380373111","",""
"VİLLA AYIŞIĞI","villaayisigisapanca","05382246349","",""
"SAPANCA VİLLA ŞEN","sapancavillasen","05413959919","",""
"VİLLA B PRİVATE SAPANCA","villabprivate","05335643256","",""
"VİLLAM SAPANCA","villamsapanca","05380700558","",""
"SAPANCA VİLLA EYFEL","villa_eyfell","05362519787","",""
"LOTUS HOME SAPANCA","@lotushomesapanca","+905324053493","",""
"TALE HOUSE SAPANCA","@talehouse_sapanca","+905427123904","",""
"EFE KÖY EVİ","efekoyevi","05336406884","",""
"SASİRİUS SHİNE SAPANCA","sasiriusshine","05462590101","",""
"NİHANE VİLLA","nihane.villa","05071471307","",""
"SAPANCA VİLLA PALAS","sapancavillapalas","05318963154","",""
"NUBU HOUSE","@nubuhouse","+905399641113","",""
"ŞEVKİBEY SERENİTY  ŞEVKİBEY KONAĞI","sevkibeyserenity","05353668893","",""
"TAŞ BAHÇE SAPANCA","@tasbahce_sapanca","+905303688854","",""
"HAN SAPANCA","@hansapanca","+905325698434","",""
"VİLLA BLUE SAPANCA","villabluesapanca","05444374331","",""
"VİLLA GREEN","sapancavillagreen","05530875319","",""
"REAL LOVE VİLLAS","reallovevillas","05340736347","",""
"VİLLA NORTH SAPANCA","villanorthsapanca","05322122501","",""
"TERRA HOUSE SAPANCA","@terrahousesapanca","+905303204111","",""
"VİLLA WONKA SAPANCA","villawonkasapanca","05332266879","",""
"VİLLA NİLÜFER SAPANCA","villanilufersapanca","05444489496","",""
"HAME PİRA SUİTES","hame_pira","905335837281","",""
"SAPANCA BUNGOVİLLA","sapancabungovilla","905325409281","",""
"LA VİTA VİLLA","la_vita_villa","05337006655","",""
"SAWSANA VİLLALARI","sawsanavillalari","05302990941","",""
"SÜMBÜL HOUSE","sumbulhouse","05466253540","",""
"SAPANCA BAKIR DAĞ EVİ","@sapancabkr_dagevi","+905366129012","",""
"SHİNİNGORE SAPANCA","shiningoresapanca","05323694149","",""
"MİNA HOUSE SAPANCA","minahousesapanca","05465231540","",""
"VİLLA CHERRY SAPANCA","villa_cherry_sapanca","05308700871","",""
"SAFİR SAPANCA VİLLAS","safirsapancavillas","05491005400","",""
"NAİLİYE DAĞ EVLERİ SAPANCA","nailiyedagevlerisapanca","05321130388","",""
"SAPANCA ÇARK TAŞ EV","@sapancarktasev","+905336851655","",""
"BG SAPANCA","@bgsapanca","+905320150154","",""
"WORLDCLASS","","+905356286740","",""
"VİTAL HOME SAPANCA","vitalhomesapanca","05323530885","",""
"SAPANCA AĞAÇ EVLER","@sapancaagacevler","+905304114454","",""
"SAPANCA VİLLA İPEKYOL","sapancavillaipekyol","05370430402","",""
"ZİRVE KONAK RESORT","zirve_konak_resort","05344472238","",""
"MJORASTE SAPANCA BOUTİGUE VİLLAS","mjorastesapanca","905326487454","",""
"SAPANCA ATLI KÖŞK VİLLA","atlikoskvilla","08503089552","",""
"SAPANCA TANURA VİLLA","sapancatanuravilla","05347161364","",""
"SAPANCA HOT ICE VİLLA BUNGALOV","sapancahot_icehouse","05528130510","",""
"VİLLA YAZ SAPANCA","villayazsapanca","05330876809","",""
"MEHMET BEY VİLLALARI","mehmetbeybungovilla","05434901061","",""
"DOKTORUN EVİ","@doktorunevi1","+905325457682","",""
"SAPANCA KİANA KONAKLAMA","sapancakianakonaklama","05322909143","",""
"SAPANCA SEYRU SEFA VİLLA","sapancaseyrusefavilla","05326988541","",""
"SAPANCA ROYAL PALACE VİLLA","sapanca_royalpalace","","",""
"SAPANCA AYNALI VİLLA","sapancaaynalivilla","05075344154","",""
"TERRACE EVLERİ","@terrace_evleri","+905340346979","",""
"SAPANCA DOĞA EVLERİ","@sapancadogaevleri","+905325026861","",""
"YILDIZ FAMİLY VİLLAGE SAPANCA- AİLELERE ÖZEL","yildizvillage","05079675626","",""
"PERA HOUSE SAPANCA","@perahousesapanca","+905334995461","",""
"VİLLA ABUÇ SAPANCA","villaabuc","05075675451","",""
"VİLLA LAKE HARMONY SAPANCA  NİLYS HOUSE","lake_harmony","905331352694","",""
"POSADA SAPANCA","@posadasapanca","+905396864127","",""
"HAN HOUSE","@sapancahanhouse","+905335822454","",""
"VİLLA GÜNEŞ SAPANCA","villagunessapanca","05363757417","",""
"VİLLA BAHÇE","villabahce","05326951698","",""
"MY NATURAL VİLLA","mynaturalvilla","05332714977","",""
"ELMALI BAHÇE SAPANCA","@elmalibahcesapanca","+905079612830","",""
