id;name;slug;city;type;status;source;phone;instagramUsername
690e02740b9deb654ef93ba7;SAPANCA KONAKLAMABLACK WHİTE BUNGALOW SAPANCA;sapanca-konaklamablack-whi-te-bungalow-sapanca;Sapanca;bungalov;approved;savibu;05321586885;sapancaakonaklama
690e02740b9deb654ef93bac;ZİRVE BUNGALOV  UZUNKUM ZİRVE BUNGALOV;zi-rve-bungalov-uzunkum-zi-rve-bungalov;Sapanca;bungalov;approved;savibu;05314877301;sapancazirvebungalow
690e02740b9deb654ef93baf;NATURAL SELECTİON SAPANCA;natural-selecti-on-sapanca;Sapanca;bungalov;approved;savibu;05326478554;naturalselectionsapanca
690e02740b9deb654ef93bb0;SAPANCA ZİALAND;sapanca-zi-aland;Sapanca;bungalov;approved;savibu;05326568094;sapancazialand
690e02740b9deb654ef93bb1;MRV HİLL SAPANCA;mrv-hi-ll-sapanca;Sapanca;bungalov;approved;savibu;05443545478;mrvhillsapanca
690e02740b9deb654ef93bb3;RENKLİ EVLER  SAPANCA PREMİUM;renkli-evler-sapanca-premi-um;Sapanca;bungalov;approved;savibu;05323655496;renklievler.sapanca
690e02740b9deb654ef93bb7;YANIK LİFE BUNGALOV;yanik-li-fe-bungalov;Sapanca;bungalov;approved;savibu;05334541684;yaniklifebungalow
690e02740b9deb654ef93bb8;EMİL'S HOUSES;emi-l-s-houses;Sapanca;bungalov;approved;savibu;05336360850;emilshouses
690e02740b9deb654ef93bba;MAVİ BONCUK SERENİTY BUNGALOW;mavi-boncuk-sereni-ty-bungalow;Sapanca;bungalov;approved;savibu;05323965758;maviboncukserenitybungalow
690e02740b9deb654ef93bbd;VALİOSO SAPANCA;vali-oso-sapanca;Sapanca;bungalov;approved;savibu;05322608017;valiososapanca
690e02740b9deb654ef93bc2;BLOOM HİLL BUNGALOV SAPANCA;bloom-hi-ll-bungalov-sapanca;Sapanca;bungalov;approved;savibu;05376048928;bloomhillbungalov
690e02740b9deb654ef93bc3;SAPANCA SİRİUS NİGHT BUNGALOW;sapanca-si-ri-us-ni-ght-bungalow;Sapanca;bungalov;approved;savibu;05334935954;sapancasiriusbungalow
690e02740b9deb654ef93bc5;SWİSS HAUS SAPANCA;swi-ss-haus-sapanca;Sapanca;bungalov;approved;savibu;05324634748;swisshaussapanca
690e02740b9deb654ef93bca;CASA VERA VİLLA;casa-vera-vi-lla;Sapanca;bungalov;approved;savibu;05525114840;casaveravilla
690e02740b9deb654ef93bcb;SAPANCA DEREKÖŞK BUNGALOV;sapanca-derekosk-bungalov;Sapanca;bungalov;approved;savibu;05324088654;sapancaderekoskbungalov
690e02740b9deb654ef93bce;LAMASİA SUİTES BUNGALOV;lamasi-a-sui-tes-bungalov;Sapanca;bungalov;approved;savibu;05304014101;lamasiasapanca
690e02740b9deb654ef93bcf;GÜLÜM BUNGALOV;gulum-bungalov;Sapanca;bungalov;approved;savibu;05397850066;gulumbungalov
690e02740b9deb654ef93bd1;MFS VİLLA & BUNGALOV;mfs-vi-lla-bungalov;Sapanca;bungalov;approved;savibu;05400858997;sapancamfsvillabungalov
690e02740b9deb654ef93bd2;SAPANCA ELZA GÖLEVİ;sapanca-elza-golevi;Sapanca;bungalov;approved;savibu;05528536460;sapancaelzagolevi
690e02740b9deb654ef93bd3;BUNGAVİLLAS;bungavi-llas;Sapanca;bungalov;approved;savibu;05398567555;bungavillassapanca
690e02740b9deb654ef93bd4;SAPANCA SELİSA BUNGALOW;sapanca-seli-sa-bungalow;Sapanca;bungalov;approved;savibu;03588628723;sapancaselisabungalov
690e02740b9deb654ef93bd6;DOĞADA VİEW;dogada-vi-ew;Sapanca;bungalov;approved;savibu;05066068455;dogadaview
690e02740b9deb654ef93bd8;SAPANCA YEŞİLVADİ DAĞ EVİ;sapanca-yesi-lvadi-dag-evi;Sapanca;bungalov;approved;savibu;05327071540;sapanca_yesilvadi_dagevi
690e02740b9deb654ef93bd9;SAPANCA GÖLKÖY BUNGALOV;sapanca-golkoy-bungalov;Sapanca;bungalov;approved;savibu;05442349554;sapancagolkoy
690e02740b9deb654ef93bde;GÖLVADİ RESORT;golvadi-resort;Sapanca;bungalov;approved;savibu;08502420054;golvadiresort
690e02740b9deb654ef93bdf;SAPANCA FAMİLY RESORT;sapanca-fami-ly-resort;Sapanca;bungalov;approved;savibu;05323640154;sapancafamilyresort
690e02740b9deb654ef93be1;RAVİNE BUNGALOV;ravi-ne-bungalov;Sapanca;bungalov;approved;savibu;05303399454;sapancaravinebungalow
690e02740b9deb654ef93be2;SAPANCA BUNGALOV GÖNÜL SOFRAM;sapanca-bungalov-gonul-sofram;Sapanca;bungalov;approved;savibu;05052111134;sapancagonulsoframtr
690e02740b9deb654ef93be3;MEŞELİKPARK BUNGALOV;meseli-kpark-bungalov;Sapanca;bungalov;approved;savibu;08503080454;sapancameselikpark
690e02740b9deb654ef93be5;LAKE VİEW HOUSE SAPANCA;lake-vi-ew-house-sapanca;Sapanca;bungalov;approved;savibu;05327356582;lakeviewhousesapanca
690e02740b9deb654ef93be6;STONE HOME SAPANCA  SAPANCA ELİTE BUNGALOW;stone-home-sapanca-sapanca-eli-te-bungalow;Sapanca;bungalov;approved;savibu;05339490054;stonehomesapanca
690e02740b9deb654ef93be7;SAPANCA NADİR BUNGALOV;sapanca-nadi-r-bungalov;Sapanca;bungalov;approved;savibu;05308993454;sapancanadirbungalov
690e02740b9deb654ef93be9;SAPANCA SİLVA BUNGALOV;sapanca-si-lva-bungalov;Sapanca;bungalov;approved;savibu;05333299022;sapancavillabungalov
690e02740b9deb654ef93bea;SAPANCA LİONSUİT;sapanca-li-onsui-t;Sapanca;bungalov;approved;savibu;05324700454;sapanca.lionsuit
690e02740b9deb654ef93beb;AcAr SUİT BUNGALOV;acar-sui-t-bungalov;Sapanca;bungalov;approved;savibu;;acarsuitbungalov
690e02740b9deb654ef93bec;TEN TİNY SAPANCA;ten-ti-ny-sapanca;Sapanca;bungalov;approved;savibu;05415941010;tentinysapanca
690e02740b9deb654ef93bed;BELLA VİSTA BUNGALOV;bella-vi-sta-bungalov;Sapanca;bungalov;approved;savibu;05448417742;bellavistabungalov
690e02740b9deb654ef93bef;SAPANCA FİTOS DELUXE  SAPANCA FİTOS BUNGALOV;sapanca-fi-tos-deluxe-sapanca-fi-tos-bungalov;Sapanca;bungalov;approved;savibu;05373701458;sapancafitosbungalov
690e02740b9deb654ef93bf2;SAPANCA SİLENTHİLL BUNGALOW;sapanca-si-lenthi-ll-bungalow;Sapanca;bungalov;approved;savibu;05517244872;sapancasilenthillbungalow
690e02740b9deb654ef93bf3;BATALİKOO TİNY HOUSE'S;batali-koo-ti-ny-house-s;Sapanca;bungalov;approved;savibu;905321731173;sapanca_batalikoo
690e02740b9deb654ef93bf6;SAPANCA KİBAR BUNGALOV;sapanca-ki-bar-bungalov;Sapanca;bungalov;approved;savibu;02645826565;sapancakibarbungalov
690e02740b9deb654ef93bf7;PELİT SAPANCA;peli-t-sapanca;Sapanca;bungalov;approved;savibu;05335130414;pelitsapancabungalov
690e02740b9deb654ef93bf8;B&B SAPANCA;b-b-sapanca;Sapanca;bungalov;approved;savibu;05313386416;bnbsapanca
690e02740b9deb654ef93bf9;DİLEKLİ BUNGALOV;di-lekli-bungalov;Sapanca;bungalov;approved;savibu;05424916186;sapancadileklibungalov
690e02740b9deb654ef93bfa;YÜKSEL BUNGALOVS;yuksel-bungalovs;Sapanca;bungalov;approved;savibu;05447312754;yukselbungolovs
690e02740b9deb654ef93bfd;SAPANCA VİLLAGGİO BUNGALOV;sapanca-vi-llaggi-o-bungalov;Sapanca;bungalov;approved;savibu;05382796581;sapancavillaggiobungalov
690e02740b9deb654ef93c01;STAR LİFE SAPANCA;star-li-fe-sapanca;Sapanca;bungalov;approved;savibu;05058885255;starlifesapanca
690e02740b9deb654ef93c03;VİSAL SAPANCA;vi-sal-sapanca;Sapanca;bungalov;approved;savibu;05324894154;visalsapanca
690e02740b9deb654ef93c08;KARAGÖL BUNGALOV;karagol-bungalov;Sapanca;bungalov;approved;savibu;05322523054;karagolbungalovs
690e02740b9deb654ef93c09;SİSORTİ SAPANCA;si-sorti-sapanca;Sapanca;bungalov;approved;savibu;05324091627;sisortisapancabungalov
690e02740b9deb654ef93c0b;EFTELYA TİNY HOUSE;eftelya-ti-ny-house;Sapanca;bungalov;approved;savibu;05324859985;eftelya.tinyhouse
690e02740b9deb654ef93c0e;ELİTE LİFE BUNGALOV  SAPANCA;eli-te-li-fe-bungalov-sapanca;Sapanca;bungalov;approved;savibu;05398437629;elitelifebungalov
690e02740b9deb654ef93c10;SAPANCA MAVİŞ BUNGALOV;sapanca-mavi-s-bungalov;Sapanca;bungalov;approved;savibu;05335547357;sapancamavisbungalov
690e02740b9deb654ef93c12;SAPANCA SİNDOMAN BUNGALOV;sapanca-si-ndoman-bungalov;Sapanca;bungalov;approved;savibu;05339696654;sindoman_bungalov
690e02740b9deb654ef93c13;HİLL HOUSE SAPANCA;hi-ll-house-sapanca;Sapanca;bungalov;approved;savibu;05398323345;hillhousesapanca
690e02740b9deb654ef93c14;DAY LİGHT SAPANCA;day-li-ght-sapanca;Sapanca;bungalov;approved;savibu;05302467702;daylightsapanca
690e02740b9deb654ef93c18;MOLEGİNZE DAĞ EVİ;molegi-nze-dag-evi;Sapanca;bungalov;approved;savibu;05337678722;moleginze.dagevi
690e02740b9deb654ef93c1a;MİYOS BUNGALOV SAPANCA;mi-yos-bungalov-sapanca;Sapanca;bungalov;approved;savibu;05442038982;miyosbungalov_sapanca
690e02740b9deb654ef93c1e;LOST PARADİSE DAĞ EVİ SAPANCA;lost-paradi-se-dag-evi-sapanca;Sapanca;bungalov;approved;savibu;05443545493;lostparadisedagevi
690e02740b9deb654ef93c22;SAPANCA BİZİM KONAK;sapanca-bi-zi-m-konak;Sapanca;bungalov;approved;savibu;905344813242;sapancabizimkonak
690e02740b9deb654ef93c23;ALPHA VİLLA SAPANCA;alpha-vi-lla-sapanca;Sapanca;bungalov;approved;savibu;05330259354;alphavillasapanca
690e02740b9deb654ef93c26;SAPANCA BİBER BUNGALOV;sapanca-bi-ber-bungalov;Sapanca;bungalov;approved;savibu;05322770739;sapancabiberbungalov
690e02740b9deb654ef93c27;SAPANCA FAVELA SUİT;sapanca-favela-sui-t;Sapanca;bungalov;approved;savibu;05318849497;sapancafavelasuit
690e02740b9deb654ef93c28;NİSH VADİ SAPANCA;ni-sh-vadi-sapanca;Sapanca;bungalov;approved;savibu;05303499699;nishvadi
690e02740b9deb654ef93c29;LİVOR BUNGALOV;li-vor-bungalov;Sapanca;bungalov;approved;savibu;05366057353;livorbungalov
690e02740b9deb654ef93c2f;TURKUAZ SAPANCA SUİT VİLLAS;turkuaz-sapanca-sui-t-vi-llas;Sapanca;bungalov;approved;savibu;05334178454;turkuazsapanca
690e02740b9deb654ef93c32;SAPANCA KONAK İLMİYE;sapanca-konak-i-lmi-ye;Sapanca;bungalov;approved;savibu;05305451706;konakilmiye
690e02740b9deb654ef93c38;ÇATI SAPANCA VİLLA RESORT;cati-sapanca-vi-lla-resort;Sapanca;bungalov;approved;savibu;05010827070;catisapanca
